point,time_s,signal_raw,signal_scaled
0,0.037000000,4147,1.97744369507
1,0.232758564,3275,1.56164169312
2,0.428517129,3265,1.55687332153
3,0.624275693,3256,1.55258178711
4,0.820034258,3252,1.55067443848
5,1.015792822,3257,1.55305862427
6,1.211551387,3272,1.56021118164
7,1.407309951,3297,1.5721321106
8,1.603068515,3327,1.58643722534
9,1.798827080,3358,1.60121917725
10,1.994585644,3387,1.61504745483
11,2.190344209,3410,1.62601470947
12,2.386102773,3429,1.63507461548
13,2.581861338,3440,1.64031982422
14,2.777619902,3446,1.64318084717
15,2.973378467,3448,1.64413452148
16,3.169137031,3447,1.64365768433
17,3.364895595,3446,1.64318084717
18,3.560654160,3445,1.64270401001
19,3.756412724,3443,1.64175033569
20,3.952171289,3440,1.64031982422
21,4.147929853,3442,1.64127349854
22,4.343688418,3455,1.64747238159
23,4.539446982,3489,1.66368484497
24,4.735205546,3561,1.69801712036
25,4.930964111,3697,1.76286697388
26,5.126722675,3931,1.8744468689
27,5.322481240,4303,2.05183029175
28,5.518239804,4859,2.31695175171
29,5.713998369,5644,2.6912689209
30,5.909756933,6698,3.19385528564
31,6.105515498,8047,3.83710861206
32,6.301274062,9709,4.62961196899
33,6.497032626,11693,5.57565689087
34,6.692791191,13992,6.67190551758
35,6.888549755,16589,7.91025161743
36,7.084308320,19466,9.28211212158
37,7.280066884,22613,10.7827186584
38,7.475825449,26031,12.4125480652
39,7.671584013,29717,14.1701698303
40,7.867342577,33681,16.0603523254
41,8.063101142,37941,18.0916786194
42,8.258859706,42522,20.2760696411
43,8.454618271,47445,22.6235389709
44,8.650376835,52726,25.1417160034
45,8.846135400,58387,27.841091156
46,9.041893964,64454,30.7340621948
47,9.237652529,70959,33.8358879089
48,9.433411093,77932,37.1608734131
49,9.629169657,85406,40.7247543335
50,9.824928222,93416,44.5442199707
51,10.020686786,101992,48.6335754395
52,10.216445351,106138,50.6105422974
53,10.412203915,115306,54.9821853638
54,10.607962480,125085,59.6451759338
55,10.803721044,135489,64.6061897278
56,10.999479608,146534,69.8728561401
57,11.195238173,158235,75.4523277283
58,11.390996737,170600,81.3484191895
59,11.586755302,183629,87.5611305237
60,11.782513866,197317,94.0880775452
61,11.978272431,211656,100.925445557
62,12.174030995,226628,108.064651489
63,12.369789560,242204,115.491867065
64,12.565548124,258352,123.191833496
65,12.761306688,275044,131.151199341
66,12.957065253,292250,139.355659485
67,13.152823817,309923,147.782802582
68,13.348582382,328011,156.407833099
69,13.544340946,346460,165.205001831
70,13.740099511,365228,174.154281616
71,13.935858075,384261,183.229923248
72,14.131616639,403507,192.407131195
73,14.327375204,422922,201.664924622
74,14.523133768,442470,210.98613739
75,14.718892333,462122,220.356941223
76,14.914650897,481842,229.760169983
77,15.110409462,501612,239.187240601
78,15.306168026,521425,248.634815216
79,15.501926591,541285,258.104801178
80,15.697685155,561213,267.607212067
81,15.893443719,581240,277.156829834
82,16.089202284,601408,286.773681641
83,16.284960848,621770,296.483039856
84,16.480719413,642379,306.310176849
85,16.676477977,663288,316.28036499
86,16.872236542,684550,326.418876648
87,17.067995106,706219,336.751461029
88,17.263753670,728353,347.305774689
89,17.459512235,751006,358.107566833
90,17.655270799,774222,369.177818298
91,17.851029364,798039,380.534648895
92,18.046787928,822486,392.191886902
93,18.242546493,847593,404.163837433
94,18.438305057,873378,416.459083557
95,18.634063622,899852,429.082870483
96,18.829822186,927084,442.068099976
