sequence_label,global_point_index,time_s,signal_raw,signal_scaled,source_folder,integral
1_Ile_1,1,0.037000000,4147,1.97744369507,003-P1-F1-Pip_1.D,
1_Ile_1,2,0.232758564,3275,1.56164169312,003-P1-F1-Pip_1.D,
1_Ile_1,3,0.428517129,3265,1.55687332153,003-P1-F1-Pip_1.D,
1_Ile_1,4,0.624275693,3256,1.55258178711,003-P1-F1-Pip_1.D,
1_Ile_1,5,0.820034258,3252,1.55067443848,003-P1-F1-Pip_1.D,
1_Ile_1,6,1.015792822,3257,1.55305862427,003-P1-F1-Pip_1.D,
1_Ile_1,7,1.211551387,3272,1.56021118164,003-P1-F1-Pip_1.D,
1_Ile_1,8,1.407309951,3297,1.5721321106,003-P1-F1-Pip_1.D,
1_Ile_1,9,1.603068515,3327,1.58643722534,003-P1-F1-Pip_1.D,
1_Ile_1,10,1.798827080,3358,1.60121917725,003-P1-F1-Pip_1.D,
1_Ile_1,11,1.994585644,3387,1.61504745483,003-P1-F1-Pip_1.D,
1_Ile_1,12,2.190344209,3410,1.62601470947,003-P1-F1-Pip_1.D,
1_Ile_1,13,2.386102773,3429,1.63507461548,003-P1-F1-Pip_1.D,
1_Ile_1,14,2.581861338,3440,1.64031982422,003-P1-F1-Pip_1.D,
1_Ile_1,15,2.777619902,3446,1.64318084717,003-P1-F1-Pip_1.D,
1_Ile_1,16,2.973378467,3448,1.64413452148,003-P1-F1-Pip_1.D,
1_Ile_1,17,3.169137031,3447,1.64365768433,003-P1-F1-Pip_1.D,
1_Ile_1,18,3.364895595,3446,1.64318084717,003-P1-F1-Pip_1.D,
1_Ile_1,19,3.560654160,3445,1.64270401001,003-P1-F1-Pip_1.D,
1_Ile_1,20,3.756412724,3443,1.64175033569,003-P1-F1-Pip_1.D,
1_Ile_1,21,3.952171289,3440,1.64031982422,003-P1-F1-Pip_1.D,
1_Ile_1,22,4.147929853,3442,1.64127349854,003-P1-F1-Pip_1.D,
1_Ile_1,23,4.343688418,3455,1.64747238159,003-P1-F1-Pip_1.D,
1_Ile_1,24,4.539446982,3489,1.66368484497,003-P1-F1-Pip_1.D,
1_Ile_1,25,4.735205546,3561,1.69801712036,003-P1-F1-Pip_1.D,
1_Ile_1,26,4.930964111,3697,1.76286697388,003-P1-F1-Pip_1.D,
1_Ile_1,27,5.126722675,3931,1.8744468689,003-P1-F1-Pip_1.D,
1_Ile_1,28,5.322481240,4303,2.05183029175,003-P1-F1-Pip_1.D,
1_Ile_1,29,5.518239804,4859,2.31695175171,003-P1-F1-Pip_1.D,
1_Ile_1,30,5.713998369,5644,2.6912689209,003-P1-F1-Pip_1.D,
1_Ile_1,31,5.909756933,6698,3.19385528564,003-P1-F1-Pip_1.D,
